//  _____________________________________________________________
// /                                                             \
// |          _           _   _   _                              |
// |         | |__  _ __ / \ | |_| |__   ___ _ __   __ _         |
// |         | '_ \| '__/ _ \| __| '_ \ / _ \ '_ \ / _` |        |
// |         | |_) | | / ___ \ |_| | | |  __/ | | | (_| |        |
// |         |_.__/|_|/_/   \_\__|_| |_|\___|_| |_|\__,_|        |
// |                                                             |
// |                       brAthena Script                       |
// |-------------------------------------------------------------|
// | Nome do Database: homun_skill_tree.txt                      |
// |-------------------------------------------------------------|
// | Criado por: eA/rA/brA Dev. Team                             |
// |-------------------------------------------------------------|
// | Descrição: Database das Habilidades dos Homunculus.         |
// |-------------------------------------------------------------|
// | Estrutura do Database:                                      |
// | ID da Hab,Nível Max,Pré-Requisito da Habilidade de ID-1,    |
// | Nível de ID-1,Pré-Requisito da Habilidade de ID-2,          |
// | Nível de ID-2,Pré-Requisito da Habilidade de ID-3,          |
// | Nível de ID-3,Pré-Requisito da Habilidade de ID-4,          |
// | Nível de ID-4,Pré-Requisito da Habilidade de ID-5,          |
// | Nível de ID-5                                               |
// \_____________________________________________________________/
//
//========================================================================================================
// Lif
//========================================================================================================
6001,8001,5,0,0,0,0,0,0,0,0,0,0 	//Cura pelas Mãos
6001,8002,5,8001,3,0,0,0,0,0,0,0,0 	//Bater em Retirada
6001,8003,5,8001,5,0,0,0,0,0,0,0,0 	//Cirurgia Cerebral
//========================================================================================================
// Amistr
//========================================================================================================
6002,8005,5,0,0,0,0,0,0,0,0,0,0 	//Fortaleza
6002,8006,5,8005,5,0,0,0,0,0,0,0,0 	//Trocar de Lugar
6002,8007,5,8006,3,0,0,0,0,0,0,0,0 	//Pele de Adamantiun
//========================================================================================================
// Filir
//========================================================================================================
6003,8009,5,0,0,0,0,0,0,0,0,0,0 	//Pica-Pau
6003,8010,5,8009,3,0,0,0,0,0,0,0,0 	//Vôo Acelerado
6003,8011,5,8010,3,0,0,0,0,0,0,0,0 	//Frenético
//========================================================================================================
// Vanilmirth
//========================================================================================================
6004,8013,5,0,0,0,0,0,0,0,0,0,0 	//Capricho
6004,8014,5,8013,3,0,0,0,0,0,0,0,0 	//Benção Caótica
6004,8015,5,8013,5,0,0,0,0,0,0,0,0 	//Mudança de Planos
//========================================================================================================
// Lif2
//========================================================================================================
