//  ________________________________________________________
// /                                                        \
// |       _           _   _   _                            |
// |      | |__  _ __ / \ | |_| |__   ___ _ __   __ _       |
// |      | '_ \| '__/ _ \| __| '_ \ / _ \ '_ \ / _` |      |
// |      | |_) | | / ___ \ |_| | | |  __/ | | | (_| |      |
// |      |_.__/|_|/_/   \_\__|_| |_|\___|_| |_|\__,_|      |
// |                                                        |
// |                    brAthena Script                     |
// |--------------------------------------------------------|
// | Nome do Database: item_violetbox.txt                   |
// |--------------------------------------------------------|
// | Criado por: eA/brA Dev. Team                           |
// |--------------------------------------------------------|
// | Descrição: Banco de Dados dos itens obtidos pela       |
// | 'Velha Caixa Roxa'.                                    |
// |--------------------------------------------------------|
// | Estrutura do Banco de Dados:                           |
// | ID do Grupo de Itens, ID do Item, Taxa                 |
// \________________________________________________________/

2,501,14	// Poção Vermelha
2,502,14	// Poção Laranja
2,503,14	// Poção Amarela
2,504,14	// Poção Branca
2,505,14	// Poção Azul
2,506,14	// Poção Verde
2,507,14	// Erva Vermelha
2,508,14	// Erva Amarela
2,509,14	// Erva Branca
2,510,14	// Erva Azul
2,511,14	// Erva Verde
2,512,14	// Maçã
2,513,14	// Banana
2,514,14	// Uvas
2,515,14	// Cenoura
2,516,14	// Batata Doce
2,517,14	// Carne
2,518,14	// Mel
2,519,14	// Leite
2,520,14	// Folha de Hinalle
2,521,14	// Folha de Aloe
2,522,14	// Mastela
2,523,14	// Água Benta
2,525,14	// Panacéia
2,526,14	// Geléia Real
2,528,14	// Ração para Monstros
2,529,14	// Bala
2,530,14	// Bengala Doce
2,531,14	// Suco de Maçã
2,532,14	// Suco de Banana
2,533,14	// Suco de Uva
2,534,14	// Suco de Cenoura
2,535,14	// Abóbora
2,536,14	// Sorvete
2,537,14	// Ração para Bichinho
2,538,14	// Biscoito de Gengibre
2,539,14	// Pedaço de Bolo
2,544,14	// Peixe Cru
2,545,14	// Poção Vermelha Compacta
2,546,14	// Poção Amarela Compacta
2,547,14	// Poção Branca Compacta
2,548,14	// Queijo
2,549,14	// Batata Doce Assada
2,550,14	// Bolinhos de Arroz
2,551,14	// Sushi
2,553,14	// Pão de Carne
2,555,14	// Bolinho de Arroz
2,558,14	// Chocolate
2,561,14	// Chocolate Branco
2,601,14	// Asa de Mosca
2,602,14	// Asa de Borboleta
2,603,614	// Velha Caixa Azul
2,604,214	// Galho Seco
2,605,14	// Analgésico
2,606,14	// Aloe Vera
2,607,14	// Fruto de Yggdrasil
2,608,14	// Semente de Yggdrasil
2,609,14	// Amuleto
2,610,14	// Folha de Yggdrasil
2,611,14	// Lupa
2,612,14	// Mini-Fornalha
2,613,14	// Martelo de Ferro
2,614,14	// Martelo de Ouro
2,615,14	// Martelo de Oridecon
2,616,1	// Velho Álbum de Cartas
2,617,103	// Velha Caixa Roxa
2,618,14	// Pergaminho Desgastado
2,619,14	// Maçã Verde
2,620,14	// Suco de Laranja
2,621,14	// Erva Amarga
2,622,14	// Cenoura Arco-Íris
2,623,14	// Minhoca Boa-Pinta
2,624,14	// Peixe Podre
2,625,14	// Ferro Enferrujado
2,626,14	// Suco de Monstro
2,627,14	// Leite Doce
2,628,14	// Osso Seco
2,629,14	// Flor Cantante
2,630,14	// Musgo Encharcado
2,631,14	// Erva Letal
2,632,14	// Minhoca Gorducha
2,633,14	// Batata Assada
2,634,14	// Banana Tropical
2,635,14	// Horror da Tribo
2,636,14	// Sem Destinatário
2,637,14	// Vassoura Velha
2,638,14	// Faca de Prata da Castidade
2,639,14	// Bracelete da Obediência
2,640,14	// Pedra Brilhante
2,641,14	// Contratos das Sombras
2,642,14	// Livro do Diabo
2,643,14	// Incubadora
2,644,114	// Caixa de Presente
2,645,14	// Poção da Concentração
2,656,14	// Poção do Despertar
2,657,14	// Poção da Fúria Selvagem
2,659,14	// Coração Apaixonado
2,663,14	// Ovos de Chocolate Branco
2,664,14	// Caixa de Presente 1
2,665,14	// Caixa de Presente 2
2,666,14	// Caixa de Presente 3
2,667,14	// Caixa de Presente 4
2,668,14	// Envelope Vermelho
2,678,14	// Garrafa de Veneno
2,679,14	// Pílula Dourada
2,701,14	// Armadilha para Insetos
2,702,14	// Sangue de Animal
2,703,14	// Hinalle
2,704,14	// Aloés
2,705,14	// Trevo
2,706,14	// Trevo de Quatro Folhas
2,707,14	// Planta da Melodia
2,708,14	// Menta
2,710,14	// Flor das Ilusões
2,711,14	// Broto
2,712,14	// Flor
2,713,14	// Garrafa Vazia
2,714,14	// Emperium
2,715,14	// Gema Amarela
2,716,14	// Gema Vermelha
2,717,14	// Gema Azul
2,718,14	// Granada
2,719,14	// Ametista
2,720,14	// Aquamarina
2,721,14	// Esmeralda
2,722,14	// Pérola
2,723,14	// Rubi
2,724,14	// Rubi Amaldiçoado
2,725,14	// Peridoto
2,726,14	// Safira
2,727,14	// Opala
2,728,14	// Topázio
2,729,14	// Zircônio
2,730,14	// Diamante de 1 quilate
2,731,14	// Diamante de 2 quilates
2,732,14	// Diamante de 3 quilates
2,733,14	// Diamante Rachado
2,734,14	// Moldura Vermelha
2,735,14	// Chung Jah
2,736,14	// Prato de Porcelana
2,737,14	// Concha Preta
2,738,14	// Estojo de Lápis
2,739,14	// Batom
2,740,14	// Boneco de Pelúcia
2,741,14	// Boneco de Poring
2,742,14	// Boneco de Chonchon
2,743,14	// Boneco de Esporo
2,744,14	// Buquê
2,745,14	// Buquê de Casamento
2,746,14	// Bolinha de Gude
2,747,14	// Espelho de Cristal
2,748,14	// Rosa Eterna
2,749,14	// Rosa de Gelo
2,750,14	// Boneco de Bafomé
2,751,14	// Boneco de Osíris
2,752,14	// Boneco de Rocker
2,753,14	// Boneco de Yoyo
2,754,14	// Boneco de Fumacento
2,756,14	// Minério de Oridecon
2,757,14	// Minério de Elunium
2,901,14	// Trança
2,902,14	// Raiz de Árvore
2,903,14	// Língua de Réptil
2,904,14	// Cauda de Escorpião
2,905,14	// Caule
2,906,14	// Escama Afiada
2,907,14	// Resina
2,908,14	// Ova de Sapo
2,909,14	// Jellopy
2,910,14	// Garleta
2,911,14	// Scell
2,912,14	// Zargônio
2,913,14	// Dente de Morcego
2,914,14	// Felpa
2,915,14	// Crisálida
