//  ________________________________________________________
// /                                                        \
// |       _           _   _   _                            |
// |      | |__  _ __ / \ | |_| |__   ___ _ __   __ _       |
// |      | '_ \| '__/ _ \| __| '_ \ / _ \ '_ \ / _` |      |
// |      | |_) | | / ___ \ |_| | | |  __/ | | | (_| |      |
// |      |_.__/|_|/_/   \_\__|_| |_|\___|_| |_|\__,_|      |
// |                                                        |
// |                    brAthena Script                     |
// |--------------------------------------------------------|
// | Nome do Database: exp_homun.txt                        |
// |--------------------------------------------------------|
// | Criado por: eA/brA Dev. Team                           |
// |--------------------------------------------------------|
// | Descrição: Database com a Tabela de Experiência da     |
// | Evolução dos Homunculus.                               |
// \________________________________________________________/
//
//==================================
347		// 01 -> 02
//==================================
545		// 02 -> 03
//==================================
891		// 03 -> 04
//==================================
1485 	// 04 -> 05
//==================================
2178 	// 05 -> 06
//==================================
3168 	// 06 -> 07
//==================================
3762	// 07 -> 08
//==================================
4158 	// 08 -> 09
//==================================
4505 	// 09 -> 10
//==================================
4900 	// 10 -> 11
//==================================
5390 	// 11 -> 12
//==================================
5880 	// 12 -> 13
//==================================
5978 	// 13 -> 14
//==================================
6223	// 14 -> 15
//==================================
6566 	// 15 -> 16
//==================================
7203 	// 16 -> 17
//==================================
7840 	// 17 -> 18
//==================================
8232 	// 18 -> 19
//==================================
8624 	// 19 -> 20
//==================================
8924 	// 20 -> 21
//==================================
9409 	// 21 -> 22
//==================================
9991 	// 22 -> 23
//==================================
10670 	// 23 -> 24
//==================================
11446	// 24 -> 25
//==================================
12610 	// 25 -> 26
//==================================
13580	// 26 -> 27
//==================================
14550 	// 27 -> 28
//==================================
15520 	// 28 -> 29
//==================================
16490 	// 29 -> 30
//==================================
17460 	// 30 -> 31
//==================================
18430	// 31 -> 32
//==================================
19400 	// 32 -> 33
//==================================
20370 	// 33 -> 34
//==================================
21340	// 34 -> 35
//==================================
22504 	// 35 -> 36
//==================================
23280 	// 36 -> 37
//==================================
25220 	// 37 -> 38
//==================================
26675 	// 38 -> 39
//==================================
28130 	// 39 -> 40
//==================================
28800 	// 40 -> 41
//==================================
30240 	// 41 -> 42
//==================================
31680	// 42 -> 43
//==================================
32640 	// 43 -> 44
//==================================
34560 	// 44 -> 45
//==================================
36000	// 45 -> 46
//==================================
36480 	// 46 -> 47
//==================================
38400 	// 47 -> 48
//==================================
40320 	// 48 -> 49
//==================================
42720 	// 49 -> 50
//==================================
45120 	// 50 -> 51
//==================================
47040	// 51 -> 52
//==================================
48960	// 52 -> 53
//==================================
50880 	// 53 -> 54
//==================================
52800	// 54 -> 55
//==================================
54720 	// 55 -> 56
//==================================
56640	// 56 -> 57
//==================================
59040 	// 57 -> 58
//==================================
60480 	// 58 -> 59
//==================================
62,400 	// 59 -> 60
//==================================
64320 	// 60 -> 61
//==================================
66240 	// 61 -> 62
//==================================
67200 	// 62 -> 63
//==================================
70080 	// 63 -> 64
//==================================
73920 	// 64 -> 65
//==================================
76800 	// 65 -> 66
//==================================
80640 	// 66 -> 67
//==================================
84480	// 67 -> 68
//==================================
87360 	// 68 -> 69
//==================================
91200 	// 69 -> 70
//==================================
104500 	// 70 -> 71
//==================================
121600 	// 71 -> 72
//==================================
133000 	// 72 -> 73
//==================================
147250	// 73 -> 74
//==================================
154850	// 74 -> 75
//==================================
161500 	// 75 -> 76
//==================================
171000 	// 76 -> 77
//==================================
178600 	// 77 -> 78
//==================================
185250  // 78 -> 79
//==================================
190000  // 79 -> 80
//==================================
218500  // 80 -> 81
//==================================
247000	// 81 -> 82
//==================================
258000 	// 82 -> 83
//==================================
332500 	// 83 -> 84
//==================================
380000  // 84 -> 85
//==================================
456000	// 85 -> 86
//==================================
522500	// 86 -> 87
//==================================
570000 	// 87 -> 88
//==================================
646000 	// 88 -> 89
//==================================
712500 	// 89 -> 90
//==================================
855000	// 90 -> 91
//==================================
950000	// 91 -> 92
//==================================
1140000 // 92 -> 93
//==================================
1425000 // 93 -> 94
//==================================
1710000 // 94 -> 95
//==================================
1995000	// 95 -> 96
//==================================
2280000 // 96 -> 97
//==================================
2660000 // 97 -> 98
//==================================
3135000 // 98 -> 99
//==================================
0 		// 0
//==================================
